User_ID,Mthly_HH_Income,Mthly_HH_Expense,Emi_or_Rent_Amt,No_of_Earning_Members,Savings_Amount,Debt_to_Income_Ratio,Investment_Horizon,Risk_Tolerance,Preferred_Investment_Type,Investment_Experience,Market_Volatility_Tolerance,Short_Term_Goal,Mid_Term_Goal,Long_Term_Goal,Goal_Based_Investing
1,8741.72,5604.68,2165.79,5,971.25,0.75,Long,Moderate,Equity,Intermediate,High,Short-Term Savings,Car Purchase,Wealth Accumulation,No
2,19112.86,14198.3,1505.1,5,3409.46,0.62,Long,Moderate,Mutual Fund,Beginner,Medium,Vacation,Car Purchase,Long-Term Security,Yes
3,15175.89,10871.9,5357.58,4,-1053.59,0.21,Long,High,Equity,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,No
4,12775.85,7850.76,1380.2,3,3544.89,0.37,Long,Moderate,Equity,Beginner,High,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
5,4808.34,4302.13,508.82,5,-2.62,0.7,Short,Low,Debt,Beginner,High,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
6,4807.9,3893.47,1244.32,3,-329.89,0.02,Short,Low,Debt,Beginner,Medium,Emergency Fund,Home Renovation,Retirement,Yes
7,3045.51,3236.48,201.58,1,-392.55,0.47,Short,Low,Bonds,Beginner,Low,Short-Term Savings,Education Fund,Retirement,Yes
8,17591.17,9162.73,8823.46,5,-395.03,0.19,Short,Low,Money Market,Intermediate,Low,Emergency Fund,Car Purchase,Retirement,No
9,12820.07,11775.42,3468.68,5,-2424.03,0.05,Medium,Low,Equity,Beginner,High,Short-Term Savings,Car Purchase,Long-Term Security,No
10,14745.31,14685.1,350.72,5,-290.51,0.73,Short,Moderate,Debt,Intermediate,Medium,Short-Term Savings,Home Renovation,Retirement,No
11,2370.52,2355.51,347.06,4,-332.05,0.65,Short,Moderate,Bonds,Expert,Low,Emergency Fund,Car Purchase,Long-Term Security,Yes
12,19458.38,20936.2,556.02,4,-2033.84,0.15,Short,Low,Money Market,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
13,16983.97,16540.21,1591.82,5,-1148.06,0.67,Long,High,Equity,Intermediate,Medium,Emergency Fund,Car Purchase,Long-Term Security,No
14,5822.1,6422.23,18.54,5,-618.67,0.12,Medium,High,Debt,Beginner,Medium,Vacation,Car Purchase,Wealth Accumulation,No
15,5272.85,3776.56,346.68,1,1149.61,0.38,Short,Low,Money Market,Intermediate,Low,Emergency Fund,Education Fund,Long-Term Security,Yes
16,5301.28,4384.62,632.17,1,284.49,0.58,Long,Moderate,Equity,Expert,High,Vacation,Car Purchase,Wealth Accumulation,Yes
17,7476.36,3806.6,1766.37,3,1903.39,0.43,Long,Moderate,Equity,Intermediate,High,Short-Term Savings,Education Fund,Retirement,No
18,11445.62,5774.57,7160.85,3,-1489.8,0.68,Medium,Moderate,Mutual Fund,Beginner,Medium,Emergency Fund,Car Purchase,Long-Term Security,No
19,9775.01,6413.21,3944.07,4,-582.27,0.49,Medium,Moderate,Mutual Fund,Intermediate,High,Vacation,Home Renovation,Retirement,No
20,7242.12,4095.6,4467.13,2,-1320.61,0.35,Short,Low,Debt,Intermediate,Low,Emergency Fund,Car Purchase,Long-Term Security,Yes
21,13013.35,8707.72,4138.57,1,167.06,0.74,Short,Low,Debt,Beginner,Low,Emergency Fund,Home Renovation,Retirement,No
22,4510.89,2774.55,637.77,3,1098.57,0.03,Medium,Moderate,Mutual Fund,Beginner,Low,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
23,7258.6,3763.86,1620.73,1,1874.01,0.39,Long,Low,Equity,Intermediate,Medium,Vacation,Education Fund,Wealth Accumulation,Yes
24,8594.51,9377.02,299.49,1,-1082.0,0.53,Medium,Moderate,Mutual Fund,Expert,High,Vacation,Education Fund,Long-Term Security,Yes
25,10209.26,5159.2,2315.47,2,2734.59,0.67,Medium,Moderate,Mutual Fund,Intermediate,Low,Vacation,Car Purchase,Retirement,Yes
26,16133.17,15785.55,2405.34,1,-2057.73,0.43,Medium,High,Mutual Fund,Intermediate,Medium,Short-Term Savings,Home Renovation,Long-Term Security,Yes
27,5594.13,3350.3,1784.92,2,458.9,0.71,Short,Moderate,Bonds,Expert,Low,Emergency Fund,Education Fund,Retirement,No
28,11256.22,12302.48,464.43,2,-1510.69,0.34,Medium,Low,Debt,Intermediate,Medium,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
